question_id,algorithm,precision,recall,f1,subgraph_time,matching_time,total_edges,total_nodes
Q4,SSR+PASR,0.089,0.679,0.158,6.823,3.163,213,164
Q4,SSR+HyDE+PASR,0.094,0.714,0.166,9.07,3.208,213,139


Q5,BFS,0.001,1.0,0.003,0.031,15.459,29323,15421
Q5,SSR,0.082,0.302,0.129,4.738,2.945,158,124
Q5,SSR+HyDE,0.089,0.326,0.139,9.533,3.472,158,98
Q5,SSR+PASR,0.133,0.488,0.209,6.501,3.558,158,119
Q5,SSR+HyDE+PASR,0.152,0.558,0.239,8.938,3.184,158,99

Q6,BFS,0.001,1.0,0.003,0.032,15.569,29323,15421
Q6,SSR,0.114,0.419,0.179,8.894,3.727,158,117
Q6,SSR+HyDE,0.089,0.326,0.139,7.527,3.057,158,108
Q6,SSR+PASR,0.146,0.535,0.229,7.039,3.076,158,110
Q6,SSR+HyDE+PASR,0.146,0.535,0.229,10.849,2.865,158,101


Q7,BFS,0.0,1.0,0.0,0.045,21.2,42931,21683
Q7,SSR,0.062,0.857,0.117,3.707,3.102,96,80
Q7,SSR+HyDE,0.062,0.857,0.117,10.519,3.017,96,75
Q7,SSR+PASR,0.073,1.0,0.136,5.302,3.29,96,80
Q7,SSR+HyDE+PASR,0.062,0.857,0.117,10.595,3.217,96,81

Q8,BFS,0.0,0.0,0.0,0.0,3.251,186,78
Q8,SSR,0.0,0.0,0.0,4.404,2.898,81,81
Q8,SSR+HyDE,0.0,0.0,0.0,7.35,2.991,81,65
Q8,SSR+PASR,0.0,0.0,0.0,4.317,3.088,81,81
Q8,SSR+HyDE+PASR,0.0,0.0,0.0,7.804,3.162,81,66
Q9,BFS,0.025,1.0,0.049,0.001,2.481,481,394
Q9,SSR,0.1,0.167,0.125,0.935,2.106,20,14
Q9,SSR+HyDE,0.6,1.0,0.75,3.343,2.22,20,13
Q9,SSR+PASR,0.2,0.333,0.25,0.94,2.606,20,12
Q9,SSR+HyDE+PASR,0.6,1.0,0.75,2.703,2.196,20,13
Q10,BFS,0.075,1.0,0.139,0.001,3.136,678,237
Q10,SSR,0.333,1.0,0.5,0.604,3.017,69,46
Q10,SSR+HyDE,0.333,1.0,0.5,1.904,3.173,69,48
Q10,SSR+PASR,0.319,0.957,0.478,0.618,2.969,69,56
Q10,SSR+HyDE+PASR,0.333,1.0,0.5,1.794,3.003,69,57
